CO,NO2,Ozone,SO2
1.68,98.76,40.65,30.64
1.15,91.79,6.87,13.81
1.54,80.72,41.19,19.61
1.18,74.58,39.76,24.57
1.28,72.2,42.72,21.72
1.05,71.34,44.68,27.42
1.07,82.91,45.86,21.02
0.36,97.74,55.69,14.22
0.72,84.33,50.11,32.55
1.26,78.81,46.3,30.4
1.01,66,57.23,32.15
1.8,81.5,52.59,28.65
1.51,81.3,58.78,37.08
2.38,82.63,40.08,29.52
1.84,84,28.69,31.01
1.24,78.77,47.12,32.28
1.26,70.63,29.6,33.24
0.56,27.99,127.02,24.08
1.1,81.26,51.68,33.07
1.63,77.04,61.52,30.11
1.92,95.71,45.1,58.73
0.88,52.69,60.61,44.94
0.71,43.42,69.08,30.68
1,59.33,63.06,38.18
0.91,49.67,79.21,38.05
0.98,62.66,73.31,37.6
1.51,85.22,54.66,51.55
2.35,81.07,40.49,38.94
0.87,58.24,70.89,38.87
1.36,76.43,64.74,31.14
1.7,89.54,66.39,32.14
1.19,79.83,84.34,18.84
1.35,101.89,70.17,18.66
1.39,106.62,68.97,20.52
1.18,86.56,47.22,21.56
2.94,113.11,54.36,38.29
1.44,97.28,45.12,38.46
0.75,51.36,67.83,11.1
0.86,56.61,72.82,14.29
0.84,54.75,54.45,15.46
1.74,73.68,64.88,27.9
0.78,79.57,33.71,14.46
0.22,36.53,15.22,6.38
0.11,174.43,22.44,41.18
0.44,115.77,18.72,49.62
0.42,79.62,17.92,26.01
0.25,55.56,11.24,21.78
2.57,81.84,46.52,27.16
1.63,81.23,36.57,14.45
1.5,44.82,61.58,16.31
1.09,53.83,72.25,29.72
1.63,62.93,71.67,19.27
1.85,85.9,60.4,28.28
2.24,95.81,48.62,23.97
2.81,102.94,42.57,33.98
2.34,99.81,56.55,31.27
1.45,57.28,88.28,17.34
1.73,64.21,67.42,26.35
1.77,68.85,59.58,15.87
